採用,メーカー,モデル,台数,耐積雪cm,最安価格,出品数,itemCode,商品名,画像URL,リンク
,YKK AP,アリュース,1台用,,140100,8,sjg-f:10115774,カーポート 1台用 YKK YKKap アリュース 600タイプ 単体セット 51-24 H25 屋根ふき材：ポリカーボネート板 YCS-A（単体セット） 駐車 車庫 ガレージ 屋根 1台,https://thumbnail.image.rakuten.co.jp/@0_mall/sjg-f/cabinet/rak2/cart-y1/yk11-ars600-1-001_c0.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00typfn.hzthoe35.g00typfn.hzthp320/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fsjg-f%2Fyk11-ars600-1-013%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fsjg-f%2Fi%2F10115774%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,アリュース,2台用,,256000,5,jyupro:10135608,アリュース 600タイプ YKKAP カーポート 2台用 【工事費込セット※サイズ・オプション種類によって追加費用が必要】 【代引不可】【東京 神奈川 千葉 埼玉 群馬 兵庫 大阪 等対応エリア拡大中※一部地域除く】 駐車場 【楽天リフォーム認定商品】,https://thumbnail.image.rakuten.co.jp/@0_mall/jyupro/cabinet/carport/car-aro-w-kj.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00qfd1n.hzthod50.g00qfd1n.hzthp799/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjyupro%2Fcar-aro-w-kj%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjyupro%2Fi%2F10135608%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,エフルージュ,1台用,,125000,12,kiro:10166046,【商品のみ】カーポート 1台用 YKKAP YKK エフルージュ FIRST 600タイプ 単体セット 51-24 H25 ポリカーボネート屋根 JCS-A 『 カーポート 車庫 ガレージ 駐車場 屋根 diy 』,https://thumbnail.image.rakuten.co.jp/@0_mall/kiro/cabinet/products/2066/20667101.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00re43n.hzthobf9.g00re43n.hzthp2c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkiro%2Fp20667101%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkiro%2Fi%2F10166046%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,エフルージュ,1台用,20,163900,1,ex-shop-diy:10007983,YKKAP YKK カーポート エフルージュ FIRST 600タイプ 1台用 片流れ 積雪20cm対応 駐車場屋根【税込】,https://thumbnail.image.rakuten.co.jp/@0_mall/ex-shop-diy/cabinet/ykcp111146/ykcp906069_1.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00sccgn.hztho2c7.g00sccgn.hzthp642/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fex-shop-diy%2Fykcp906069%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fex-shop-diy%2Fi%2F10007983%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,エフルージュ,,,178600,3,kiro:10450982,【全国工事対応可能】YKKAPエフルージュ FIRST Z 750タイプ 単体セット アルミ色 屋根:ポリカーボネート板 『 カーポートポリカ カーポート工事費込み ガレージ 駐車場 屋根 』 アルミ色,https://thumbnail.image.rakuten.co.jp/@0_mall/kiro/cabinet/products/1226/12263591.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00re43n.hzthobf9.g00re43n.hzthp2c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkiro%2Fp12263591%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkiro%2Fi%2F10450982%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,エフルージュ,2台用,,374400,13,kiro:10166545,【商品のみ】カーポート 2台用 YKKAP YKK エフルージュ FIRST 600タイプ 単体セット 51-51M ハイルーフ 熱線遮断ポリカーボネート屋根 DCD 『 カーポート 車庫 ガレージ 駐車場 屋根 diy 』,https://thumbnail.image.rakuten.co.jp/@0_mall/kiro/cabinet/products/2075/20751001.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00re43n.hzthobf9.g00re43n.hzthp2c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkiro%2Fp20751001%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkiro%2Fi%2F10166545%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,エフルージュ,3台用以上,,727100,4,kiro:10166592,【商品のみ】カーポート 3台用 YKKAP YKK エフルージュトリプル FIRST 単体セット 51-72M H25 ポリカーボネート屋根 DCD-T 『 カーポート 車庫 ガレージ 駐車場 屋根 diy 』,https://thumbnail.image.rakuten.co.jp/@0_mall/kiro/cabinet/products/2075/20758101.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00re43n.hzthobf9.g00re43n.hzthp2c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkiro%2Fp20758101%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkiro%2Fi%2F10166592%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,ジーポート,1台用,,269900,3,kiro:10441693,【商品のみ】カーポート 1台用 YKK YKKAP ジーポート Pro 1500タイプ 横材なし 明かり取りなし 単体柱4本 60-30 H23『 折板 セッパン カーポート 車庫 ガレージ 駐車場 屋根 diy 』 アルミ色,https://thumbnail.image.rakuten.co.jp/@0_mall/kiro/cabinet/products/5091/50911601.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00re43n.hzthobf9.g00re43n.hzthp2c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkiro%2Fp50911601%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkiro%2Fi%2F10441693%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,ジーポート,1台用,50,340100,1,ex-shop-diy:10008163,YKKAP YKK カーポート ジーポートPro 1台用 積雪50cm対応 4本柱 折板 駐車場屋根【税込】,https://thumbnail.image.rakuten.co.jp/@0_mall/ex-shop-diy/cabinet/cpyk/ykcp001364.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00sccgn.hztho2c7.g00sccgn.hzthp642/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fex-shop-diy%2Fykcp001364%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fex-shop-diy%2Fi%2F10008163%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,ジーポート,2台用,,382200,8,kiro:10439823,【商品のみ】カーポート 2台用 YKK YKKAP ジーポート Pro 900タイプ 横材なし 明かり取りなし 単体柱4本 55-48 H23『 折板 セッパン カーポート 車庫 ガレージ 駐車場 屋根 diy 』 アルミ色,https://thumbnail.image.rakuten.co.jp/@0_mall/kiro/cabinet/products/5087/50879601.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00re43n.hzthobf9.g00re43n.hzthp2c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkiro%2Fp50879601%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkiro%2Fi%2F10439823%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,ジーポート,3台用以上,,691700,5,kiro:10441433,【商品のみ】カーポート 3台用 YKK YKKAP ジーポート Pro 900タイプ 横材なし 明かり取りなし 間口(2)連結柱6本 M55-48・30 H23『 折板 セッパン カーポート 車庫 ガレージ 駐車場 屋根 diy 』 アルミ色,https://thumbnail.image.rakuten.co.jp/@0_mall/kiro/cabinet/products/5089/50895801.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00re43n.hzthobf9.g00re43n.hzthp2c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkiro%2Fp50895801%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkiro%2Fi%2F10441433%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,ジーポート,3台用以上,50,1093200,1,ex-shop-diy:10008217,YKKAP YKK カーポート オールブラック ジーポート Pro 積雪50cm対応 3台用 4本柱 折板 駐車場屋根【税込】,https://thumbnail.image.rakuten.co.jp/@0_mall/ex-shop-diy/cabinet/cpyk/ykcp000364_black.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00sccgn.hztho2c7.g00sccgn.hzthp642/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fex-shop-diy%2Fykcp001964_black%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fex-shop-diy%2Fi%2F10008217%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,ジーポート,3台用以上,30,1129000,1,ex-shop-diy:10008234,YKKAP YKK カーポート オールブラック ジーポート Pro 3台用 積雪30cm対応 4本柱 折板 駐車場屋根【税込】,https://thumbnail.image.rakuten.co.jp/@0_mall/ex-shop-diy/cabinet/cpyk/ykcp003964_black.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00sccgn.hztho2c7.g00sccgn.hzthp642/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fex-shop-diy%2Fykcp000764_black%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fex-shop-diy%2Fi%2F10008234%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,レイナツインポート,2台用,,250300,1,ex-shop-diy:10007819,YKKAP YKK カーポート 2台用 アリュース 600タイプ 横2台並び 駐車場屋根（レイナツインポートグランの後継品）【税込】,https://thumbnail.image.rakuten.co.jp/@0_mall/ex-shop-diy/cabinet/09302505/ykcp214867_1.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00sccgn.hztho2c7.g00sccgn.hzthp642/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fex-shop-diy%2Fykcp240167%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fex-shop-diy%2Fi%2F10007819%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,YKK AP,レイナポート,1台用,,264880,1,jyupro:10122014,カーポート 1台用 YKK レイナポートグラン（ アリュースの先代モデル） 【工事費込セット（基準価格＋基本工事費）※サイズ・オプション種類によって追加費用が必要です】【代引不可】【在庫なし時後継品での出荷対応】 【クーポン有★2026/6/11迄】,https://thumbnail.image.rakuten.co.jp/@0_mall/jyupro/cabinet/carport/car-rpg-kj.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00qfd1n.hzthod50.g00qfd1n.hzthp799/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjyupro%2Fcar-rpg-kj%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjyupro%2Fi%2F10122014%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,三協アルミ,スカイリード,1台用,,290000,1,jyupro:10130397,[CAR-SKL] スカイリード 三協アルミ カーポート 片側支持タイプ 1台用 【工事費込セット（基準価格＋基本工事費）※サイズ・オプション種類によっては追加費用が必要です】 【楽天リフォーム認定商品】【代引不可】 【クーポン有★2026/6/11迄】,https://thumbnail.image.rakuten.co.jp/@0_mall/jyupro/cabinet/carport/car-skl-kj.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00qfd1n.hzthod50.g00qfd1n.hzthp799/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjyupro%2Fcar-skl-kj%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjyupro%2Fi%2F10130397%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,三協アルミ,スカイリード,2台用,,414800,2,kiro-2:10416933,【商品のみ】 三協アルミ スカイリード 両側支持タイプ 2台用 基本タイプ 5048 H25 屋根材：熱線遮断ポリカーボネート板 柱4本 『 カーポート 2台 本体のみ 駐車場 屋根 外構 エクステリア 』,https://thumbnail.image.rakuten.co.jp/@0_mall/kiro-2/cabinet/products/1055/10559601.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00s11dn.hzthofde.g00s11dn.hzthp24a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkiro-2%2Fp10559601%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkiro-2%2Fi%2F10416933%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,三協アルミ,セルフィ,1台用,,229410,3,kiro:10448291,【商品のみ】 三協アルミ セルフィ 基本 1台用 柱2本 5124 H28 ポリカーボネート板 『 カーポート 1台 本体のみ 駐車場 屋根 外構 エクステリア DIY 』,https://thumbnail.image.rakuten.co.jp/@0_mall/kiro/cabinet/products/1049/10492201.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00re43n.hzthobf9.g00re43n.hzthp2c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkiro%2Fp10492201%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkiro%2Fi%2F10448291%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,三協アルミ,セルフィ,2台用,,334180,1,yamatojyu-ken:10011566,カーポート2台用 駐車場屋根　セルフィ　4324×2 (奥行8636)　H2200　奥行2連結　ポリカ　三協　地域限定　送料無料,https://thumbnail.image.rakuten.co.jp/@0_mall/yamatojyu-ken/cabinet/ca/san/elm/celf-renk.gif?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00r5wvn.hztho7f9.g00r5wvn.hzthp840/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fyamatojyu-ken%2Fcsp-r001%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fyamatojyu-ken%2Fi%2F10011566%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,三協アルミ,ダブルフェース,2台用,,962800,1,jyupro:10133248,【楽天リフォーム認定商品】[CAR-DFB-W] ダブルフェース　バックタイプ 三協アルミ カーポート 2台用 【工事費込セット（基準価格＋基本工事費）※サイズ・オプション種類によっては追加費用が必要です】 【代引不可】 【クーポン有★2026/6/11迄】,https://thumbnail.image.rakuten.co.jp/@0_mall/jyupro/cabinet/carport/car-dfb-w-kj.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00qfd1n.hzthod50.g00qfd1n.hzthp799/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjyupro%2Fcar-dfb-w-kj%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjyupro%2Fi%2F10133248%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
